时间,源IP/源MAC,目的IP/目的MAC,协议,长度
12:00:52,10.207.0.97,104.208.16.95,TCP,55
12:00:53,104.208.16.95,10.207.0.97,TCP,78
12:00:54,124.70.15.211,10.207.0.97,TCP,66
12:00:54,10.207.0.97,124.70.15.211,TCP,66
12:00:54,10.207.0.97,223.5.5.5,TCP,55
12:00:54,223.5.5.5,10.207.0.97,TCP,60
12:00:56,10.207.0.97,140.82.112.26,TCP,55
12:00:56,140.82.112.26,10.207.0.97,TCP,78
12:00:57,10.207.0.97,20.194.180.207,TCP,55
12:00:57,20.194.180.207,10.207.0.97,TCP,78
12:00:57,10.207.0.97,110.242.68.4,TCP,74
12:00:57,110.242.68.4,10.207.0.97,TCP,74
12:00:57,10.207.0.97,110.242.68.4,TCP,54
12:00:57,10.207.0.97,110.242.68.4,TCP,54
12:00:57,10.207.0.97,110.242.68.4,TCP,54
12:00:57,110.242.68.4,10.207.0.97,TCP,60
12:00:57,110.242.68.4,10.207.0.97,TCP,60
12:00:57,10.207.0.97,110.242.68.4,TCP,54
12:00:58,10.207.0.97,20.198.162.76,TCP,55
12:00:59,20.198.162.76,10.207.0.97,TCP,66
12:01:00,10.207.0.97,120.226.40.208,TCP,55
12:01:00,120.226.40.208,10.207.0.97,TCP,78
12:01:02,10.207.0.97,120.226.40.208,TCP,55
12:01:02,120.226.40.208,10.207.0.97,TCP,78
12:01:04,10.207.0.97,120.226.40.208,TCP,55
12:01:04,120.226.40.208,10.207.0.97,TCP,78
12:01:05,10.207.0.97,120.226.40.208,TCP,55
12:01:05,120.226.40.208,10.207.0.97,TCP,78
12:01:05,157.148.62.239,10.207.0.97,TCP,95
12:01:05,10.207.0.97,157.148.62.239,TCP,430
12:01:05,157.148.62.239,10.207.0.97,TCP,965
12:01:06,10.207.0.97,157.148.62.239,TCP,54
12:01:07,10.207.0.97,110.242.68.4,TCP,74
12:01:07,110.242.68.4,10.207.0.97,TCP,74
12:01:07,10.207.0.97,110.242.68.4,TCP,54
12:01:07,10.207.0.97,110.242.68.4,TCP,54
12:01:07,110.242.68.4,10.207.0.97,TCP,60
12:01:07,110.242.68.4,10.207.0.97,TCP,60
12:01:07,10.207.0.97,110.242.68.4,TCP,54
12:01:07,101.37.158.248,10.207.0.97,TCP,135
12:01:07,10.207.0.97,101.37.158.248,TCP,135
12:01:07,101.37.158.248,10.207.0.97,TCP,60
12:01:08,10.207.0.97,104.208.16.95,TCP,55
12:01:08,104.208.16.95,10.207.0.97,TCP,78
12:01:11,140.82.112.26,10.207.0.97,TCP,92
12:01:11,10.207.0.97,140.82.112.26,TCP,96
12:01:11,140.82.112.26,10.207.0.97,TCP,66
12:01:15,10.207.0.97,120.226.40.208,TCP,55
12:01:15,120.226.40.208,10.207.0.97,TCP,78
12:01:17,10.207.0.97,110.242.68.4,TCP,74
12:01:17,110.242.68.4,10.207.0.97,TCP,74
12:01:17,10.207.0.97,110.242.68.4,TCP,54
12:01:17,10.207.0.97,110.242.68.4,TCP,54
12:01:17,10.207.0.97,110.242.68.4,TCP,54
12:01:17,110.242.68.4,10.207.0.97,TCP,60
12:01:17,110.242.68.4,10.207.0.97,TCP,60
12:01:17,10.207.0.97,110.242.68.4,TCP,54
12:01:17,10.207.0.97,120.226.40.208,TCP,55
12:01:17,120.226.40.208,10.207.0.97,TCP,78
12:01:19,10.207.0.97,120.226.40.208,TCP,55
12:01:19,120.226.40.208,10.207.0.97,TCP,78
